Time,Source,Destination,Protocol,Status
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:47,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:48,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:48,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:49,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:49,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:49,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:49,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:55,10.78.150.79,10.78.150.254,17,✅ Normal
14:33:55,10.78.150.79,10.78.150.254,17,✅ Normal
14:33:55,10.78.150.254,10.78.150.79,17,✅ Normal
14:33:55,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:56,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:56,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:56,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:56,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:56,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:56,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:56,10.78.150.79,34.139.124.58,6,✅ Normal
